timestamp,produced_energy,consumed_energy,battery_charged_energy,battery_discharged_energy,grid_feedin_energy,grid_purchase_energy
2022-12-15T00:00:00+01:00,3195,6058,1532,843,136,3688
2022-12-16T00:00:00+01:00,4749,8794,2562,1778,150,4978
2022-12-17T00:00:00+01:00,22643,16904,10551,9595,7117,2334
2022-12-18T00:00:00+01:00,14365,8935,9965,3724,167,978
2022-12-19T00:00:00+01:00,3924,10785,2314,6211,130,3095
2022-12-20T00:00:00+01:00,2068,9770,846,295,104,8357
2022-12-21T00:00:00+01:00,1780,9492,651,91,57,8329
2022-12-22T00:00:00+01:00,1009,6524,457,10,25,5988
2022-12-23T00:00:00+01:00,1365,7854,899,285,93,7196
2022-12-24T00:00:00+01:00,8694,11790,5107,4001,123,4324
2022-12-25T00:00:00+01:00,9835,12577,6135,5098,118,3898
2022-12-26T00:00:00+01:00,911,15537,291,0,2,14920
2022-12-27T00:00:00+01:00,15029,6589,10819,3286,2459,1551
2022-12-28T00:00:00+01:00,4468,8110,2355,5439,121,678
2022-12-29T00:00:00+01:00,1622,8602,568,1935,55,5668
2022-12-30T00:00:00+01:00,10843,8559,7232,4075,163,1035
2022-12-31T00:00:00+01:00,12624,10694,9194,7807,1337,794
